count,cesarean,monitor,arrest,breech,nullipar,year
25,1,0,0,0,1,0
12,1,1,0,0,1,0
16,1,0,1,0,1,0
22,1,1,1,0,1,0
13,1,0,0,1,1,0
2,1,1,0,1,1,0
6,1,0,1,1,1,0
3,1,1,1,1,1,0
7,1,0,0,0,0,0
9,1,1,0,0,0,0
2,1,0,1,0,0,0
7,1,1,1,0,0,0
3,1,0,0,1,0,0
2,1,1,0,1,0,0
1,1,0,1,1,0,0
1,1,1,1,1,0,0
27,1,0,0,0,1,1
27,1,1,0,0,1,1
29,1,0,1,0,1,1
55,1,1,1,0,1,1
12,1,0,0,1,1,1
3,1,1,0,1,1,1
5,1,0,1,1,1,1
2,1,1,1,1,1,1
8,1,0,0,0,0,1
6,1,1,0,0,0,1
3,1,0,1,0,0,1
16,1,1,1,0,0,1
9,1,0,0,1,0,1
3,1,1,0,1,0,1
1,1,0,1,1,0,1
2,1,1,1,1,0,1
35,1,0,0,0,1,2
29,1,1,0,0,1,2
10,1,0,1,0,1,2
68,1,1,1,0,1,2
15,1,0,0,1,1,2
4,1,1,0,1,1,2
1,1,0,1,1,1,2
2,1,1,1,1,1,2
6,1,0,0,0,0,2
11,1,1,0,0,0,2
2,1,0,1,0,0,2
7,1,1,1,0,0,2
5,1,0,0,1,0,2
2,1,1,0,1,0,2
1,1,0,1,1,0,2
3,1,1,1,1,0,2
17,1,0,0,0,1,3
42,1,1,0,0,1,3
7,1,0,1,0,1,3
68,1,1,1,0,1,3
12,1,0,0,1,1,3
6,1,1,0,1,1,3
2,1,0,1,1,1,3
2,1,1,1,1,1,3
5,1,0,0,0,0,3
17,1,1,0,0,0,3
0,1,0,1,0,0,3
12,1,1,1,0,0,3
5,1,0,0,1,0,3
2,1,1,0,1,0,3
0,1,0,1,1,0,3
1,1,1,1,1,0,3
23,1,0,0,0,1,4
27,1,1,0,0,1,4
13,1,0,1,0,1,4
81,1,1,1,0,1,4
17,1,0,0,1,1,4
7,1,1,0,1,1,4
0,1,0,1,1,1,4
7,1,1,1,1,1,4
5,1,0,0,0,0,4
15,1,1,0,0,0,4
4,1,0,1,0,0,4
22,1,1,1,0,0,4
7,1,0,0,1,0,4
6,1,1,0,1,0,4
1,1,0,1,1,0,4
3,1,1,1,1,0,4
13,1,0,0,0,1,5
50,1,1,0,0,1,5
14,1,0,1,0,1,5
77,1,1,1,0,1,5
8,1,0,0,1,1,5
6,1,1,0,1,1,5
5,1,0,1,1,1,5
4,1,1,1,1,1,5
1,1,0,0,0,0,5
9,1,1,0,0,0,5
2,1,0,1,0,0,5
13,1,1,1,0,0,5
5,1,0,0,1,0,5
2,1,1,0,1,0,5
0,1,0,1,1,0,5
3,1,1,1,1,0,5
884,0,0,0,0,1,0
289,0,1,0,0,1,0
71,0,0,1,0,1,0
82,0,1,1,0,1,0
40,0,0,0,1,1,0
9,0,1,0,1,1,0
3,0,0,1,1,1,0
3,0,1,1,1,1,0
1182,0,0,0,0,0,0
224,0,1,0,0,0,0
49,0,0,1,0,0,0
30,0,1,1,0,0,0
32,0,0,0,1,0,0
3,0,1,0,1,0,0
4,0,0,1,1,0,0
2,0,1,1,1,0,0
433,0,0,0,0,1,1
458,0,1,0,0,1,1
40,0,0,1,0,1,1
137,0,1,1,0,1,1
23,0,0,0,1,1,1
9,0,1,0,1,1,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
718,0,0,0,0,0,1
437,0,1,0,0,0,1
39,0,0,1,0,0,1
48,0,1,1,0,0,1
22,0,0,0,1,0,1
14,0,1,0,1,0,1
2,0,0,1,1,0,1
2,0,1,1,1,0,1
455,0,0,0,0,1,2
508,0,1,0,0,1,2
26,0,0,1,0,1,2
70,0,1,1,0,1,2
11,0,0,0,1,1,2
11,0,1,0,1,1,2
1,0,0,1,1,1,2
1,0,1,1,1,1,2
715,0,0,0,0,0,2
426,0,1,0,0,0,2
9,0,0,1,0,0,2
23,0,1,1,0,0,2
28,0,0,0,1,0,2
19,0,1,0,1,0,2
1,0,0,1,1,0,2
0,0,1,1,1,0,2
308,0,0,0,0,1,3
531,0,1,0,0,1,3
13,0,0,1,0,1,3
73,0,1,1,0,1,3
11,0,0,0,1,1,3
12,0,1,0,1,1,3
0,0,0,1,1,1,3
3,0,1,1,1,1,3
570,0,0,0,0,0,3
521,0,1,0,0,0,3
5,0,0,1,0,0,3
20,0,1,1,0,0,3
19,0,0,0,1,0,3
26,0,1,0,1,0,3
0,0,0,1,1,0,3
0,0,1,1,1,0,3
199,0,0,0,0,1,4
538,0,1,0,0,1,4
18,0,0,1,0,1,4
112,0,1,1,0,1,4
1,0,0,0,1,1,4
9,0,1,0,1,1,4
0,0,0,1,1,1,4
3,0,1,1,1,1,4
394,0,0,0,0,0,4
567,0,1,0,0,0,4
7,0,0,1,0,0,4
36,0,1,1,0,0,4
6,0,0,0,1,0,4
13,0,1,0,1,0,4
0,0,0,1,1,0,4
1,0,1,1,1,0,4
111,0,0,0,0,1,5
498,0,1,0,0,1,5
5,0,0,1,0,1,5
118,0,1,1,0,1,5
0,0,0,0,1,1,5
11,0,1,0,1,1,5
0,0,0,1,1,1,5
1,0,1,1,1,1,5
307,0,0,0,0,0,5
572,0,1,0,0,0,5
7,0,0,1,0,0,5
37,0,1,1,0,0,5
7,0,0,0,1,0,5
13,0,1,0,1,0,5
0,0,0,1,1,0,5
0,0,1,1,1,0,5
